family,n,gemini_positive_pct,qwen_positive_pct,cohen_kappa,krippendorff_alpha_nominal,raw_agreement_pct
1.1_texture,279,83.51,29.39,0.0957,-0.1716,42.29
1.2_boundary,279,68.82,29.03,0.0527,-0.0953,45.16
1.3_lighting,279,23.30,5.38,0.1782,0.1260,78.49
1.4_watermark,279,8.96,7.89,0.9303,0.9304,98.92
2.1_human_anatomy,279,68.82,20.07,0.1575,-0.0433,48.39
2.2_non_human_anatomy,279,11.47,4.66,0.5002,0.4933,92.47
2.3_object_structural,279,65.23,22.22,0.1907,0.0404,52.69
2.4_scene_composition,279,22.58,3.58,0.1677,0.1033,79.57
3.1_motion,279,69.89,29.39,0.0085,-0.1521,42.29
3.2_identity_drift,279,68.10,9.32,0.0254,-0.3271,36.92
3.3_continuity,279,39.07,7.53,0.0844,-0.0411,62.72
3.4_causality,279,41.94,7.89,0.1456,0.0149,63.08
