family,LTX,Hunyuan,Wan,Kling,Gemini_Omni,Seedance,Pexels
1.1_texture,92.5,90.0,82.5,93.8,96.9,90.6,58.7
1.2_boundary,92.5,77.5,70.0,62.5,68.8,68.8,50.8
1.3_lighting,45.0,10.0,22.5,25.0,28.1,18.8,17.5
1.4_watermark,2.5,0.0,2.5,65.6,3.1,0.0,1.6
2.1_human_anatomy,75.0,72.5,70.0,65.6,75.0,75.0,57.1
2.2_non_human_anatomy,17.5,15.0,15.0,12.5,12.5,9.4,3.2
2.3_object_structural,77.5,67.5,65.0,62.5,71.9,71.9,50.8
2.4_scene_composition,42.5,20.0,20.0,18.8,21.9,25.0,14.3
3.1_motion,82.5,82.5,80.0,53.1,59.4,81.2,55.6
3.2_identity_drift,90.0,75.0,70.0,59.4,78.1,59.4,52.4
3.3_continuity,70.0,27.5,37.5,28.1,53.1,43.8,23.8
3.4_causality,42.5,55.0,40.0,46.9,43.8,46.9,28.6
