family,LTX,Hunyuan,Wan,Kling,Gemini_Omni,Seedance,Pexels
1.1_texture,27.5,20.0,22.5,75.0,46.9,40.6,3.1
1.2_boundary,27.5,20.0,25.0,71.9,43.8,40.6,3.1
1.3_lighting,12.5,2.5,12.5,3.1,3.1,3.1,1.6
1.4_watermark,0.0,0.0,2.5,65.6,0.0,0.0,0.0
2.1_human_anatomy,22.5,12.5,17.5,46.9,31.2,28.1,1.6
2.2_non_human_anatomy,5.0,7.5,7.5,3.1,6.2,6.2,0.0
2.3_object_structural,22.5,12.5,22.5,46.9,37.5,34.4,1.6
2.4_scene_composition,15.0,2.5,5.0,0.0,0.0,0.0,1.6
3.1_motion,27.5,20.0,25.0,75.0,43.8,40.6,3.1
3.2_identity_drift,20.0,10.0,15.0,3.1,12.5,6.2,1.6
3.3_continuity,20.0,5.0,10.0,3.1,9.4,9.4,0.0
3.4_causality,12.5,10.0,5.0,12.5,9.4,9.4,1.6
