prompt_id,ai_verdicts,total_verdicts,detection_rate
w2_028,2,12,0.1667
w2_004,6,12,0.5000
w2_018,6,12,0.5000
w2_029,6,12,0.5000
w2_031,6,12,0.5000
w2_038,6,12,0.5000
w2_039,6,12,0.5000
w2_016,7,12,0.5833
w2_017,7,12,0.5833
w2_019,7,12,0.5833
w2_036,7,12,0.5833
w2_001,8,12,0.6667
w2_002,8,12,0.6667
w2_008,8,12,0.6667
w2_014,8,12,0.6667
w2_023,8,12,0.6667
w2_026,8,12,0.6667
w2_027,8,12,0.6667
w2_034,8,12,0.6667
w2_003,9,12,0.7500
w2_006,9,12,0.7500
w2_007,9,12,0.7500
w2_009,9,12,0.7500
w2_011,9,12,0.7500
w2_021,9,12,0.7500
w2_024,9,12,0.7500
w2_033,9,12,0.7500
w2_037,9,12,0.7500
w2_032,10,12,0.8333
w2_012,11,12,0.9167
w2_013,11,12,0.9167
w2_022,11,12,0.9167
