family,mllm,L,M,H,total
1.1_texture,gemini,14,219,0,233
1.2_boundary,gemini,22,170,0,192
1.3_lighting,gemini,6,59,0,65
1.4_watermark,gemini,0,25,0,25
2.1_human_anatomy,gemini,1,191,0,192
2.2_non_human_anatomy,gemini,0,32,0,32
2.3_object_structural,gemini,4,178,0,182
2.4_scene_composition,gemini,0,63,0,63
3.1_motion,gemini,6,189,0,195
3.2_identity_drift,gemini,6,184,0,190
3.3_continuity,gemini,5,104,0,109
3.4_causality,gemini,1,116,0,117
1.1_texture,qwen,23,57,2,82
1.2_boundary,qwen,32,36,13,81
1.3_lighting,qwen,7,8,0,15
1.4_watermark,qwen,0,0,22,22
2.1_human_anatomy,qwen,2,16,38,56
2.2_non_human_anatomy,qwen,0,1,12,13
2.3_object_structural,qwen,7,24,31,62
2.4_scene_composition,qwen,0,10,0,10
3.1_motion,qwen,15,48,19,82
3.2_identity_drift,qwen,9,13,4,26
3.3_continuity,qwen,5,11,5,21
3.4_causality,qwen,2,14,6,22
